№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9420908,Новое,RISK_SHORT,2024-06-26 10:35:47,15378.453,118-rbr-gatp-mkjaj,51991-qqjk-njapnh-ncogwkwn,3700
9420909,Новое,RISK_SHORT,2024-06-26 10:35:48,57673.7478,942-wdo-rlgh-pnpgv,61097-cqjr-jndmel-nalxbpbp,4000
9420910,Новое,RISK_SHORT,2024-06-26 10:35:48,343979.5266,557-aiv-oibw-fujoo,20088-pcgt-nmzuff-cwcdmubk,7733
9420911,Новое,RISK_SHORT,2024-06-26 10:35:48,71665.2768,269-zxx-odqy-mupoc,17463-yysw-hogwcs-bbzjrjqk,7734
9420912,Новое,RISK_SHORT,2024-06-26 10:35:48,42199.8342,419-glg-kdng-pmrca,78050-npls-vzqfmc-exgojnqo,6154
9420914,Новое,RISK_SHORT,2024-06-26 10:35:49,24546.5328,185-geu-drow-ibwqr,25038-vkef-eiiuuz-wgzxlwau,3300
9420915,Новое,RISK_SHORT,2024-06-26 10:35:50,8290.4256,679-rbe-miul-xvibh,44060-riih-mrqcqx-apjtunvv,2457
9420916,Новое,RISK_SHORT,2024-06-26 10:35:50,259308.993,260-lfn-mhwp-nfxgf,31839-oalx-gplxaj-adxybcmv,3812
9420917,Новое,RISK_SHORT,2024-06-26 10:35:50,46795.0308,132-mfv-okif-eginh,85438-ihsc-dkzlnf-rzyqtakm,1800
9420919,Новое,RISK_SHORT,2024-06-26 10:35:51,61657.665,560-yxh-twlo-wweox,72118-hqoy-uydqcb-wntslfnk,7724
9420925,Новое,RISK_SHORT,2024-06-26 10:35:52,89575.437,312-usr-xhww-swtnm,50083-rglb-sirljr-hjrzdbxq,2632
9420926,Новое,RISK_SHORT,2024-06-26 10:35:52,6503.1534,540-nvr-koaa-zpyfj,77782-rcuy-wifsfs-dogwrigw,7300
9420927,Новое,RISK_SHORT,2024-06-26 10:35:53,83493.4734,147-gvo-rsbr-vlhxu,23908-kqor-mfsuqj-taermhyh,7838
9420928,Новое,RISK_SHORT,2024-06-26 10:35:53,23907.7158,151-zfl-qrmk-ltykl,57992-jbos-dcetoc-epefboef,7817
9420930,Новое,RISK_SHORT,2024-06-26 10:35:53,5804.892,196-hel-wlcv-ljizb,77135-jtof-qahsdz-ghuvlupk,7000
9420931,Новое,RISK_SHORT,2024-06-26 10:35:54,15771.4849,650-oxr-nphw-irtcw,98765-jppk-fioqxr-wbqofdji,1800
9420932,Новое,RISK_SHORT,2024-06-26 10:35:54,13464.1302,735-rps-ekvr-gztzl,80782-wgrk-mvgknj-rxnugfdf,2536
9420933,Новое,RISK_SHORT,2024-06-26 10:35:54,5410.4928,359-qus-qhvn-ximsq,74142-lajc-daymuw-nvtwasgl,5029
9420935,Новое,RISK_SHORT,2024-06-26 10:35:54,9633.1262,541-dlp-dtgy-mwibo,97518-coit-arvzdx-vmtzqgij,2508
9420936,Новое,RISK_SHORT,2024-06-26 10:35:55,9349.2996,976-wzq-kcjj-eeivn,13879-njzg-omseme-conknkrm,5100
9420937,Новое,RISK_SHORT,2024-06-26 10:35:55,40472.9596,415-ncz-hutw-kirgn,14149-qets-mjndwh-smsufcgm,7743
9420938,Новое,RISK_SHORT,2024-06-26 10:35:56,403598.814,831-rip-gxth-bcjkn,76810-ntjn-nnaicn-oaocnsdu,1200
9420939,Новое,RISK_SHORT,2024-06-26 10:35:56,40794.6204,355-zfm-ayji-jysid,47974-gmrb-zddxnh-pbspouyn,1800
9420941,Новое,RISK_SHORT,2024-06-26 10:35:56,78547.3224,923-crl-ehat-djmhx,31809-jdpb-owxhut-rvbazqcq,6683
